Date,Open,High,Low,Close,Volume
2015-01-02,24.671146843393636,24.682221739158916,23.7763496768566,24.214889526367188,212818400
2015-01-05,23.98455483534346,24.064289384302135,23.346680133466553,23.532726287841797,257142000
2015-01-06,23.59695227731193,23.794073292366384,23.173916188735014,23.534936904907227,263188400
2015-01-07,23.74312925787633,23.96461367890052,23.632387047364233,23.864946365356445,160423600
2015-01-08,24.192750656468547,24.839484936863993,24.07536246185409,24.781898498535156,237458000
2015-01-09,24.95465436316189,25.08311575891223,24.40980277991557,24.808475494384766,214798000
2015-01-12,24.93914657771306,24.945790840272345,24.097506754292127,24.197174072265625,198603200
2015-01-13,24.680013820160088,24.983448143293007,24.121873715993303,24.412017822265625,268367600
2015-01-14,24.1506639642499,24.471815731969652,24.031062161775676,24.318992614746094,195826400
2015-01-15,24.363282670925187,24.376571193466866,23.623525626380783,23.65896224975586,240056000
2015-01-16,23.705477902251076,23.82729501276512,23.300160996132067,23.475133895874023,314053200
2015-01-20,23.884875146679487,24.135153581932286,23.588086883378335,24.079782485961914,199599600
2015-01-21,24.130732158398505,24.598064521947254,23.980122652281484,24.26362419128418,194303600
2015-01-22,24.420878854689395,24.910359345032568,24.301277034591283,24.894855499267578,215185600
2015-01-23,24.872705926916115,25.193857723073517,24.702161943737746,25.0233154296875,185859200
2015-01-26,25.191640428521755,25.32896139344122,24.983446198227874,25.049890518188477,222460000
2015-01-27,24.89928019685748,24.912570412240157,24.148448084734664,24.17281150817871,382274800
2015-01-28,26.05321534893324,26.16174394651588,25.539371490478516,25.539371490478516,585908400
2015-01-29,25.76307284971998,26.398733871324843,25.59474418351453,26.334503173828125,337745600
2015-01-30,26.223755963952947,26.57813070202149,25.880454433135018,25.949115753173828,334982000
2015-02-02,26.146240465741013,26.39430197270769,25.709915821075615,26.274700164794922,250956400
2015-02-03,26.24589840475889,26.37657337474587,26.04877744643813,26.27912139892578,207662800
2015-02-04,26.24590559753552,26.691089785876024,26.20382301407181,26.48067855834961,280598800
2015-02-05,26.68747466730253,26.73417145961258,26.516259315856928,26.669687271118164,168984800
2015-02-06,26.687468849685565,26.738612055777654,26.338366040807443,26.445098876953125,174826400
2015-02-09,26.360599036722242,26.64743998906675,26.33391540783551,26.620758056640625,155559200
2015-02-10,26.72082395138966,27.16109458407621,26.71860158755748,27.132186889648438,248034000
2015-02-11,27.29896214554481,27.777033432281677,27.238926075331964,27.768138885498047,294247200
