Date,Open,High,Low,Close,Volume
2015-01-02,170.91174406115695,171.3258145622169,169.08982374735015,170.125,121465900
2015-01-05,169.0815398898487,169.2471655561333,166.7461889314505,167.05259704589844,169632600
2015-01-06,167.3589659169749,167.88069864803924,164.68407475623997,165.47909545898438,209151400
2015-01-07,166.80418415106138,167.8807701425897,166.35699350286723,167.54122924804688,125346700
2015-01-08,168.9490503774883,170.72956120963863,168.93249665478461,170.5142364501953,147217800
2015-01-09,170.92826385990315,170.9448302148578,168.53493734422247,169.14776611328125,158567300
2015-01-12,169.28035159123428,169.43770044651637,167.21827538265657,167.82281494140625,144396100
2015-01-13,169.0401714686587,170.16644396459586,166.050581341413,167.35076904296875,214553300
2015-01-14,165.33839761625433,166.53921255321274,164.44401617491025,166.3404541015625,192991100
2015-01-15,166.97805285767345,167.29273780529536,164.70066539430715,164.8166046142578,176613900
2015-01-16,164.60958936534854,167.1354219312357,164.42739733525644,166.9780731201172,211879600
2015-01-20,167.61573238611436,167.88074357008344,165.76898150488393,167.33416748046875,130991100
2015-01-21,166.8704144645625,168.6592020890844,166.40665751815214,168.1788787841797,122942700
2015-01-22,168.93246232905992,170.8123330247463,167.55774543821306,170.67984008789062,174356000
2015-01-23,170.42313339031367,170.6798677187709,169.6115587363211,169.7440643310547,117516800
2015-01-26,169.5287243661273,170.2326365292039,168.81652270697356,170.14154052734375,92009700
2015-01-27,168.0877619624292,169.04011895690113,167.06915217860907,167.8972930908203,134044600
2015-01-28,169.0815634381223,169.18093632444723,165.55368697285624,165.74415588378906,168514300
2015-01-29,165.9429070087455,167.53293630229993,164.53505711997988,167.27621459960938,173585400
2015-01-30,166.1002407142217,167.42525868672465,164.9077156934692,165.17271423339844,197729700
2015-02-02,165.66964179128243,167.30935775192052,163.85601062679834,167.21826171875,163107000
2015-02-03,168.11259167452923,169.64465729362138,167.7399308212552,169.63636779785156,124212900
2015-02-04,168.87455451013952,170.08364624023,168.5350135803241,168.99049377441406,134306700
2015-02-05,169.6529429037491,170.84546780487813,169.57841325653533,170.69639587402344,97953200
2015-02-06,171.06079833152506,171.62394076730268,169.70264763355704,170.22438049316406,125672000
2015-02-09,169.57841785976186,170.2988964085735,169.05668504224863,169.4624786376953,87219000
2015-02-10,170.49764208253944,171.5245286482681,169.50386295432565,171.26780700683594,96164200
2015-02-11,171.10221945776905,171.79785489325087,170.45627046247458,171.36721801757812,91087800
2015-02-12,172.16222880934126,173.07318894711187,171.40034061976428,173.0152130126953,97545900
2015-02-13,173.1394439618939,173.77710343007948,172.88270963873737,173.7274169921875,93670400
2015-02-17,173.41270104093434,174.17460179617606,173.16426887773315,174.0006866455078,76968200
